arm,bench,n,rule,thr_prob,r,tp,tp_std,fp,fp_std,fn,fn_std,tn,tn_std,balanced_accuracy,balanced_accuracy_std,precision,precision_std,recall,recall_std,specificity,specificity_std,f1,f1_std,auc,auc_std,ap,ap_std,false_alarms,false_alarms_std,infer_ms_per_clip,infer_ms_per_clip_std,infer_s,infer_s_std,params,params_std
ls0.1,b5,5,p=0.5,0.5,nan,41.0,0.0,19327.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.002116893845518381,0.0,1.0,0.0,0.0,0.0,0.004224844144469061,0.0,0.9854264285903582,0.004510269440490869,0.5821107836558342,0.031226552082823857,19327.0,0.0,0.11866184513906661,0.0002814652390011366,2.298242616653442,0.005451418748974029,1172897.0,0.0
ls0.1,avg,5,p=0.5,nan,nan,543.6,nan,19450.2,nan,6.4,nan,9255.2,nan,0.6533851661663689,nan,0.10161230173646532,nan,0.9964601769911503,nan,0.31031015534158723,nan,0.15684757935973992,nan,0.9757474012120255,nan,0.7332887619415265,nan,19450.2,nan,0.11676127437376786,nan,3.4546487808227537,nan,1172897.0,nan
ls0.1,b1,1,val-Youden,0.7747900665215319,nan,224.0,nan,1790.0,nan,2.0,nan,2889.0,nan,0.8042950331645632,nan,0.1112214498510427,nan,0.9911504424778761,nan,0.6174396238512503,nan,0.2,nan,0.9133087585842978,nan,0.3460603566046989,nan,1790.0,nan,0.11038605226289241,nan,0.5414435863494873,nan,1172897.0,nan
ls0.1,b2,5,val-Youden,0.8871718607202166,nan,492.6,1.8547236990991407,80.4,111.4317728477834,5.4,1.8547236990991407,41217.6,111.43177284778342,0.9936049004969464,0.00118071050542444,0.8870002511919122,0.1392417364247548,0.9891566265060241,0.0037243447773075075,0.9980531744878686,0.0026982365452996116,0.9287460467852995,0.08412097683566445,0.9981839362875494,0.0009465302280782507,0.9936445809309828,0.0017614859415788177,80.4,111.4317728477834,0.11853322604932628,0.00031657956959178367,4.954214715957642,0.013231759690658209,1172897.0,0.0
ls0.1,b3,1,val-Youden,0.7205151380049961,nan,1769.0,nan,1454.0,nan,39.0,nan,44879.0,nan,0.973523841404729,nan,0.5488675147378219,nan,0.978429203539823,nan,0.9686184792696351,nan,0.7032399125422382,nan,0.9890948215104624,nan,0.885709812741617,nan,1454.0,nan,0.11847131666962124,nan,5.703327655792236,nan,1172897.0,nan
ls0.1,b4,5,val-Youden,0.8731858016404399,nan,167.0,3.8987177379235853,414.2,170.63458031712096,10.0,3.8987177379235853,31475.8,170.63458031712094,0.9652572136209747,0.00836054241150002,0.3299106987392828,0.14522916725580765,0.9435028248587571,0.022026653886573936,0.9870116023831923,0.005350723747793086,0.4710099477949627,0.1343676736693668,0.9927230610874599,0.006544889230238391,0.8589182757744991,0.046291064012997256,414.2,170.63458031712096,0.1177539317479328,0.0008041739949239372,3.7760153293609617,0.025787447495225775,1172897.0,0.0
ls0.1,b5,5,val-Youden,0.9594814171496777,nan,38.4,1.3564659966250536,106.6,15.33101431738944,2.6,1.3564659966250536,19220.4,15.33101431738944,0.965534882957874,0.016356017195022835,0.26744662229852423,0.024846257684839407,0.9365853658536585,0.033084536503050065,0.9944844000620894,0.0007932433547570415,0.41523723389669953,0.029592888264412955,0.9854264285903582,0.004510269440490869,0.5821107836558342,0.031226552082823857,106.6,15.33101431738944,0.11866184513906661,0.0002814652390011366,2.298242616653442,0.005451418748974029,1172897.0,0.0
ls0.1,avg,5,val-Youden,nan,nan,538.2,nan,769.04,nan,11.8,nan,27936.360000000004,nan,0.9404431743290175,nan,0.4288893073637167,nan,0.9677648926472278,nan,0.913121456010807,nan,0.54364662820384,nan,0.9757474012120255,nan,0.7332887619415265,nan,769.04,nan,0.11676127437376786,nan,3.4546487808227537,nan,1172897.0,nan
ls0.1,b1,1,val-cost r=N/P,0.5870332658980157,20.70353982300885,226.0,nan,1792.0,nan,0.0,nan,2887.0,nan,0.8085060910450952,nan,0.11199207135777998,nan,1.0,nan,0.6170121820901903,nan,0.2014260249554367,nan,0.9133087585842978,nan,0.3460603566046989,nan,1792.0,nan,0.11038605226289241,nan,0.5414435863494873,nan,1172897.0,nan
ls0.1,b2,5,val-cost r=N/P,0.8217693296147701,82.92771084337349,493.6,1.2,460.4,762.2620546767364,4.4,1.2,40837.6,762.2620546767365,0.9900082095051715,0.008449245502490767,0.7506992540249986,0.30650579506631226,0.9911646586345382,0.0024096385542168976,0.9888517603758051,0.01845760217629757,0.809890584855767,0.25191473030255657,0.9981839362875494,0.0009465302280782507,0.9936445809309828,0.0017614859415788177,460.4,762.2620546767364,0.11853322604932628,0.00031657956959178367,4.954214715957642,0.013231759690658209,1172897.0,0.0
ls0.1,b3,1,val-cost r=N/P,0.651629790438854,25.6266592920354,1769.0,nan,1771.0,nan,39.0,nan,44562.0,nan,0.970102953484672,nan,0.49971751412429377,nan,0.978429203539823,nan,0.961776703429521,nan,0.6615557217651459,nan,0.9890948215104624,nan,0.885709812741617,nan,1771.0,nan,0.11847131666962124,nan,5.703327655792236,nan,1172897.0,nan
ls0.1,b4,5,val-cost r=N/P,0.8730385827775983,180.16949152542372,167.0,3.8987177379235853,415.2,170.95075314253518,10.0,3.8987177379235853,31474.8,170.95075314253518,0.9652415347247689,0.008353651218491851,0.3291836618634631,0.1444717148089323,0.9435028248587571,0.022026653886573936,0.9869802445907808,0.00536063822961852,0.4703444194896508,0.13395136997191598,0.9927230610874599,0.006544889230238391,0.8589182757744991,0.046291064012997256,415.2,170.95075314253518,0.1177539317479328,0.0008041739949239372,3.7760153293609617,0.025787447495225775,1172897.0,0.0
ls0.1,b5,5,val-cost r=N/P,0.9481553329509849,471.390243902439,38.8,1.16619037896906,131.0,28.064212085857676,2.2,1.16619037896906,19196.0,28.064212085857676,0.9697816904696701,0.013670653549939713,0.23426035584981783,0.03423683979006453,0.9463414634146341,0.02844366777973315,0.9932219175247063,0.0014520728558937068,0.37385420422340293,0.04245737059614504,0.9854264285903582,0.004510269440490869,0.5821107836558342,0.031226552082823857,131.0,28.064212085857676,0.11866184513906661,0.0002814652390011366,2.298242616653442,0.005451418748974029,1172897.0,0.0
